SMILES,Molecular Formula,MolWeight,logP,Hydrogen Acceptors,Hydrogen Donors,TopologicalPolarSurfaceArea,RingCount,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Can_Smi,IUPAC,Mol_Form,Compound_CID,Molecular_Formula,IUPAC_Name,Antioxidant,Anti-inflammatory,Toxic
B1(OC2=CC(=CC(=C2O1)O)C(=O)O)O,,195.923,-0.1612,5,3,96.22,2,0,1,0,0,0,0,0,0,0,,,,192163,C7H5BO6,"2,4-dihydroxy-1,3,2-benzodioxaborole-6-carboxylic acid",FALSE,FALSE,TRUE
Br.CN1CC(O)(c2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)OC2CCCCC21,C21H25BrN2O4,449.345,4.258,5,1,75.84,4,0,2,0,3,0,3,0,0,0,,,,,,,TRUE,FALSE,FALSE
BrC1=C(OC)C(=C[C@]2(ON=C(C2)C(=O)NCCC(=O)CNC(=O)C2=NO[C@@]3([C@@H](O)C(=C(OC)C(=C3)Br)Br)C2)[C@H]1O)Br,,832.091,2.0206,11,4,177.37,4,0,1,0,4,4,0,0,0,0,COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCC(=O)CNC(=O)C1=NO[C@]3(C=C(Br)C(OC)=C(Br)[C@@H]3O)C1)=NO2,"(5S,6R)-7,9-dibromo-N-[4-[[(5S,6R)-7,9-dibromo-6-hydroxy-8-methoxy-1-oxa-2-azaspiro[4.5]deca-2,7,9-triene-3-carbonyl]amino]-3-oxobutyl]-6-hydroxy-8-methoxy-1-oxa-2-azaspiro[4.5]deca-2,7,9-triene-3-carboxamide",C24H24Br4N4O9,,,,FALSE,TRUE,FALSE
C#C,,26.038,0.2494,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,6326,C2H2,acetylene,FALSE,FALSE,TRUE
C#CCN(C)[C@H](C)Cc1ccc(NCc2cccc(OC)c2O)cc1,C21H26N2O2,338.451,3.5089,4,2,44.73,2,0,1,0,1,1,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C#CCN1C=NC2=C(C1=O)OC3=CC=CC=C32,C13H8N2O2,224.219,1.7759,4,0,48.03,3,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C#CCNC(=O)/C=C/c1c[nH]c2ccc(OC)cc12,C15H14N2O2,254.289,1.9391,2,2,54.12,2,0,1,0,0,0,0,1,1,0,,,,,,,TRUE,FALSE,FALSE
C#CCNC(=O)C1=C(C=C(C=C1)OCC2=CC=CC=C2)Cl,C17H14ClNO2,299.757,3.282,2,1,38.33,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C#CCO,C3H4O,56.064,-0.3881,1,1,20.23,0,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C#CCSC1=C(C=CC(=N1)C2=CC=CS2)C#N,C13H8N2S2,256.355,3.40708,4,0,36.68,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
